"ort","cc","state_name","place_type","attractiveness_score","research_score","stay","stay_confidence","entry_fee","fact","when","avoid","stay_de","fact_de","when_de","avoid_de","entry_fee_de","stay_fr","fact_fr","when_fr","avoid_fr","entry_fee_fr"
"Plitvička Jezera","HR","Lika-Senj County","national_park","100","3","Best option: Camping Korana – €25-35/night, near park entrance, full facilities
Alternative: Camping Borje – slightly cheaper, further from entrances
Wild camping: strictly illegal in national park area, heavily fined","2","€30-40 park entry","16 terraced turquoise lakes connected by cascading waterfalls through travertine barriers","May-June for blooming flowers, Sept-Oct for fewer crowds and golden foliage","July-August peak crowds, advance booking required, winter closures","","","","","","","","","",""
"Tallinn","EE","Harju County","city","100","3","Best option: Tallinn Camping (Pirita) – €15-20/night, full hookups, showers, 8km to Old Town
Alternative: Rocca al Mare Shopping Centre – free overnight parking, no facilities, 10km to centre
Wild camping: illegal in city, rarely enforced in industrial areas but risky","2","","The medieval city wall still has 26 of its original 46 towers intact, and you can walk along sections of it for free - making it one of Europe's best-preserved fortified cities where locals still live inside the walls.","May-Sep","Nov-Mar: brutally cold with only 6 hours of daylight","","","","","","","","","",""
"Plitvice Lakes","HR","Lika-Senj County","national_park","100","3","Best option: Autocamp Korana – €25-30/night, full facilities, 2km to entrance
Alternative: Camp Plitvice – €20-25/night, basic facilities, 5km to entrance
Wild camping: strictly prohibited and heavily enforced – €500+ fines common","2","€23-39 depending on season","16 terraced turquoise lakes connected by cascading waterfalls through travertine barriers","May-June for blooming flowers, Sept-Oct for fewer crowds and golden foliage","July-August peak crowds, advance booking required, winter closures","","","","","","","","","",""
"Reykjavík","IS","null","medium_town","100","3","Best option: Reykjavik Campsite – €25-35/night, heated facilities, showers, 3km to centre
Alternative: Laugardalur Campsite – €20-30/night, indoor cooking area, 4km to centre
Wild camping: legal outside built areas but extremely limited near city","2","","The city runs entirely on geothermal and hydroelectric power, and you can see steam rising from the ground throughout downtown - plus most swimming pools are naturally heated to 38-40°C year-round.","Jun-Aug","Nov-Feb: hurricane-force winds and 19+ hours of darkness daily","","","","","","","","","",""
"Venice","US","California","medium_town","78","3","Best option: Venice Beach RV Park – $75-100/night, full hookups, beachfront location
Alternative: Dockweiler Beach RV Park – $60-85/night, full hookups, 15min to Venice
Wild camping: illegal on all LA beaches, strictly enforced","3","","This California beach town has more street art per square mile than any other US city, with Banksy pieces hidden in alleyways and a 70-foot tall mural visible from the freeway.","Apr-Jun, Sep-Nov","Jul-Aug: homeless camps and aggressive panhandling make van parking extremely challenging","","","","","","","","","",""
"Stockholm","SE","Stockholm County","city","100","3","Best option: Långholmen Husbilsplats – €35-45/night, central island location, 2km to Gamla Stan
Alternative: Bredäng Camping – €25-35/night, metro connection, 15km to centre
Wild camping: allemansrätten allows overnight parking but not in Stockholm metro area","2","","The city is built on 14 islands connected by 57 bridges, and you can legally wild camp on most islands in the archipelago due to Sweden's 'Right to Roam' laws.","May-Sep","Dec-Feb: temperatures drop to -20°C and daylight lasts only 6 hours","","","","","","","","","",""
"Riga","LV","null","city","100","3","Best option: Riga City Camping – €18-25/night, basic facilities, 6km to Old Town
Alternative: Daugavgrīva parking – free overnight, no facilities, 15km to centre
Wild camping: tolerated in outskirts, avoid city centre – occasional police checks","3","","Contains the world's largest collection of Art Nouveau buildings (over 750) in its UNESCO center, built during a 20-year boom when it was the Russian Empire's third-largest city.","May-Sep","Jan-Mar: harsh Baltic winds and frequent freezing rain","","","","","","","","","",""
"Hvar","HR","null","village","98","3","Best option: Camp Vira – €30-45/night, seaside location, 3km to Hvar town
Alternative: Parking near ferry port – €10-15/night, no facilities, walk to town
Wild camping: illegal and enforced due to fire risk – stick to designated areas","3","","Gets 2,724 hours of sunshine annually (more than anywhere else in Croatia) and has lavender fields that bloom purple across the entire island in late June.","May-Jun, Sep","Jul-Aug: €50+ parking fees and cruise ship crowds of 10,000+ daily visitors","","","","","","","","","",""
"Andorra la Vella","AD","null","medium_town","98","3","Best option: Camping Valira – €20-30/night, mountain setting, 8km to centre
Alternative: Shopping centre parking (Pyrénées) – free overnight, no facilities, 2km to centre
Wild camping: generally tolerated in mountains but forbidden in valleys","3","","Europe's highest capital at 1,023m elevation, where diesel costs €0.20 less per liter than neighboring countries due to tax-free status.","Jun-Sep","Dec-Mar: mountain passes require snow chains and close frequently","","","","","","","","","",""
"Grand Canyon","US","Arizona","nature_reserve","98","3","Best option: Mather Campground – $18/night, no hookups, shuttle access to rim
Alternative: Trailer Village RV Park – $65-85/night, full hookups, Grand Canyon Village
Wild camping: prohibited within park boundaries, dispersed camping allowed in surrounding National Forest areas","1","$35 per vehicle (7 days)","1.6km deep geological marvel exposing 2 billion years of Earth's history","April-May and September-October for mild weather","July-August extreme heat, holiday weekends, South Rim parking nightmare","","","","","","","","","",""
"Koper","SI","null","medium_town","98","3","Best option: Ankaran Resort camping – €25-35/night, coastal location, 8km to Koper
Alternative: Port parking area – free overnight, no facilities, industrial setting
Wild camping: tolerated along coast outside settlements but limited spots","3","","Slovenia's only major port was built on a former island - the entire old town sits on what was once surrounded by water until land reclamation in the 20th century.","Apr-Jun, Sep-Oct","Jul-Aug: industrial port smells and 35°C+ heat with no sea breeze","","","","","","","","","",""
"Hallstätter See","AT","Upper Austria","nature_reserve","97","3","Best option: Camping Klausner-Höll – €25-35/night, lakeside, 2km to Hallstatt
Alternative: Wohnmobilstellplatz Obertraun – €20/night, basic facilities, opposite side of lake
Wild camping: strictly prohibited around lake – heavy tourist enforcement","2","","Pristine Alpine lake surrounded by 3000-year-old salt mining village","September-October for golden reflections and fewer tour buses","June-August Asian tour groups, Instagram crowds, limited parking","","","","","","","","","",""
"Lago di Braies","IT","Trentino – Alto Adige/Südtirol","nature_reserve","97","3","Best option: Area sosta Braies – €25-30/night, mountain setting, 3km to lake
Alternative: Camping Olympia (Dobbiaco) – €30-40/night, 15km to lake, full facilities
Wild camping: prohibited and enforced – protected natural area","3","€6 parking fee at lake","Emerald mountain lake in Dolomites with perfect wooden boat reflections","Early morning June-September, late September for larch colors","Mid-morning to evening crowds, requires reservation in peak season","","","","","","","","","",""
"Lake Garda","IT","Veneto","nature_reserve","97","3","Best option: Area sosta Garda (Bardolino) – €25-35/night, lakeside, town centre
Alternative: Camping San Benedetto (Peschiera) – €35-45/night, full resort facilities
Wild camping: illegal and actively enforced – heavy tourism area","2","","Italy's largest lake with Mediterranean microclimate and dramatic mountain backdrop","May-June and September for perfect weather and sailing","July-August German tourist invasion, weekend traffic nightmares","","","","","","","","","",""
"Königssee","DE","Bayern","nature_reserve","97","3","Best option: Wohnmobilstellplatz Berchtesgaden – €18-25/night, shuttle to lake, 5km
Alternative: Camping Allweglehen – €25-35/night, full facilities, 3km to lake
Wild camping: strictly prohibited in national park area","2","€8 parking at Königssee","Fjord-like glacial lake with crystal clear waters and famous echo demonstration","Early morning May-October, winter for frozen waterfalls","Midday crowds, limited parking, boat schedule dependent","","","","","","","","","",""
"Crater Lake","US","Oregon","nature_reserve","97","3","Best option: Mazama Campground – $23/night, no hookups, seasonal (June-Oct)
Alternative: Diamond Lake RV Park – $45-60/night, full hookups, 50 miles from rim
Wild camping: prohibited within park, dispersed camping in surrounding Umpqua National Forest","2","$30 per vehicle (7 days)","Deepest lake in US at 594m, formed by collapsed volcano caldera","July-September when Rim Drive fully open","October-June snow closures, limited access roads","","","","","","","","","",""
"Eibsee","DE","Bavaria","nature_reserve","97","3","Best option: Wohnmobilstellplatz Grainau – €20-25/night, 3km to lake, mountain views
Alternative: Camping Resort Zugspitze – €40-55/night, luxury facilities, 2km to lake
Wild camping: prohibited in tourist/nature protection zone","2","€6 Eibsee parking fee","Pristine Alpine lake at Zugspitze base with 8 small islands","Early morning June-September for mirror reflections","Weekend crowds, parking fills by 9am, cable car queues","","","","","","","","","",""
"Visby","SE","Gotland County","medium_town","96","3","Best option: Visby Stugby & Camping – €30-40/night, 3km to medieval centre
Alternative: Snäck Camping – €25-35/night, rural setting, 8km to Visby
Wild camping: allemansrätten allows overnight but limited spots due to island size","2","","The entire medieval city becomes a UNESCO World Heritage festival during Medieval Week in August, with 40,000+ people in full costume and no modern technology visible.","Jun-Aug","Oct-Apr: ferries run infrequently and most restaurants close","","","","","","","","","",""
"Charlottetown","CA","Prince Edward Island","medium_town","96","2","Best option: Marco Polo Land RV Park – CAD $45-55/night, full hookups, showers, 10km from downtown
Alternative: Vacation Land Campground – closer to city but smaller sites
Wild camping: illegal in city, enforcement strict in tourist areas","2","","Red sand beaches stretch for miles due to iron oxide in the sandstone, and you can dig for clams at low tide - plus it's the birthplace of Canada (Confederation meetings held here).","Jun-Sep","Nov-Mar: Confederation Bridge can close due to ice storms","","","","","","","","","",""
"Oeschinen Lake","CH","Bern","natural_park","95","3","Best option: Camping Rendezvous (Kandersteg) – CHF 45-60/night, cable car access to lake
Alternative: Wohnmobilstellplatz Kandersteg – CHF 25-35/night, basic facilities, village centre
Wild camping: strictly prohibited in tourist/protected areas","2","CHF 16 cable car return + CHF 5 lake access","UNESCO World Heritage Alpine lake accessible only by cable car and hiking","June-October for hiking access, winter for ice fishing","Cable car maintenance closures, requires 1.5hr hike from station","","","","","","","","","",""
"Podgorica","ME","Podgorica Capital City","city","95","2","Best option: Autocamp Zeta – €15-20/night, basic facilities, 8km from centre
Alternative: Hotel parking arrangements possible but unofficial
Wild camping: tolerated outside city but locals may ask you to move","3","","Built on the confluence of two rivers with Ottoman bridges still intact, but most travelers skip it entirely - making it one of Europe's least visited capitals despite 300+ days of sunshine.","Apr-Jun, Sep-Oct","Jul-Aug: 40°C+ heat with no air conditioning in most establishments","","","","","","","","","",""
"Peyto Lake","CA","Alberta","natural_park","95","3","Best option: Mosquito Creek Campground – CAD $23/night, no hookups, 15km south
Alternative: Waterfowl Lakes Campground – CAD $23/night, no hookups, 20km north
Wild camping: random camping permitted in backcountry with permit only","2","Parks Canada Pass required","Wolf-shaped glacial lake with distinctive turquoise color from rock flour","June-September for road access, early morning for fewer crowds","October-May road closures, midday tour bus invasions","","","","","","","","","",""
"Moraine Lake","CA","Alberta","natural_park","95","3","Best option: Lake Louise Campground – CAD $33/night, no hookups, shuttle to Moraine Lake
Alternative: Protection Mountain Campground – CAD $23/night, 45km away, basic facilities
Wild camping: prohibited in Lake Louise area, random camping requires backcountry permit","2","Parks Canada Pass required","Iconic turquoise lake surrounded by Valley of Ten Peaks","Late June-September for full access, early morning mandatory","Parking lot fills by 6am, October-May road closed","","","","","","","","","",""
"Telluride","US","Colorado","village","95","3","Best option: Town Park Campground – $25/night, no hookups, walk to town
Alternative: Sunshine Campground – $35-45/night, full hookups, 8 miles from town
Wild camping: dispersed camping allowed in surrounding San Juan National Forest","2","","Completely surrounded by 13,000+ foot peaks in a box canyon with only one road in/out - Butch Cassidy robbed his first bank here in 1889.","Jun-Sep","Nov-Mar: avalanche danger closes mountain passes, trapping the town","","","","","","","","","",""
"Bratislava","SK","Bratislava","city","95","3","Best option: Camping Zlaté Piesky – €15-20/night, lakeside setting, 8km to centre
Alternative: Parking at Eurovea shopping – free overnight, no facilities, city centre
Wild camping: tolerated in outskirts but avoid city centre areas","2","","The only world capital that borders two other countries (Austria and Hungary) - you can walk to Austria in 20 minutes from the city center.","Apr-Jun, Sep-Oct","Jul-Aug: Danube flooding and 35°C+ heat with poor air quality","","","","","","","","","",""
"Garibaldi Lake","CA","British Columbia","natural_park","95","3","Best option: Alice Lake Provincial Park – CAD $35/night, 20km from trailhead
Alternative: Porteau Cove Provincial Park – CAD $40/night, oceanfront, 35km away
Wild camping: prohibited in provincial park, dispersed camping in surrounding Crown land","3","BC Parks day pass required","Turquoise volcanic lake requiring 9km hike through old-growth forest","July-September for snow-free hiking","October-June snow access, requires backcountry camping permit","","","","","","","","","",""
"Vilnius","LT","Vilnius County","city","95","3","Best option: Vilnius Camping – €15-20/night, 12km to Old Town, bus connection
Alternative: Akropolis shopping centre – free overnight parking, no facilities, 8km to centre
Wild camping: tolerated in forest areas outside city but increasing enforcement","3","","Has its own self-declared republic (Užupis) complete with constitution, president, and army of 11 people - it's recognized nowhere but celebrated everywhere in the bohemian quarter.","May-Sep","Dec-Feb: -15°C average and only 7 hours of daylight","","","","","","","","","",""
"Oslo","NO","Oslo","city","95","3","Best option: Langøyene Camping – NOK 200-300/night, island setting, ferry to centre
Alternative: Ekeberg Camping – NOK 250-350/night, city views, 5km to centre
Wild camping: allemansrätten applies but limited near Oslo due to development","2","","You can legally camp anywhere in the city's surrounding forests (marka) for free, and there are 50+ islands accessible by public ferry where wild camping is permitted.","May-Aug","Nov-Feb: polar night conditions and €8+ for a basic coffee","","","","","","","","","",""
"Rabat","MA","Rabat-Salé-Kénitra","city","95","2","Best option: Camping de la Plage – €10-15/night, beachside location, 15km from city centre
Alternative: Hotel parking with permission
Wild camping: illegal and strictly enforced, police patrol regularly","3","","Morocco's political capital has Roman ruins (Chellah) where storks nest on ancient columns, and it's far less touristy than Marrakech or Fez despite being a UNESCO site.","Oct-Apr","Jun-Aug: Atlantic humidity combines with 40°C+ heat","","","","","","","","","",""
"London","GB","England","city","95","1","unverified – check Park4Night","3","","","","","","","","","","","","","",""
"Lake Louise","CA","Alberta","natural_park","95","3","Best option: Lake Louise Campground – CAD $33/night, no hookups, walk to lake
Alternative: Protection Mountain Campground – CAD $23/night, 45km away, mountain setting
Wild camping: prohibited in Lake Louise area, random camping requires backcountry permit","1","Parks Canada Pass required","Turquoise glacial lake with Chateau and Victoria Glacier backdrop","Early morning year-round, June-August for canoeing","Midday crowds, parking nightmare by 8am, overpriced everything","","","","","","","","","",""
"Tunis","TN","Tunis","city","95","2","Best option: Camping Sidi Bou Said – €8-12/night, coastal location, 20km from Tunis
Alternative: Negotiate hotel parking
Wild camping: illegal, police enforcement varies but risky","3","","The ancient city of Carthage is now a wealthy suburb with Roman villa ruins in people's backyards - you can see Hannibal's harbors and take the tram there from downtown.","Oct-Apr","Jul-Aug: sirocco desert winds bring 45°C+ temperatures and sandstorms","","","","","","","","","",""
"Sintra","PT","Lisbon","medium_town","95","3","Best option: Camping Orbitur Guincho – €25-35/night, coastal setting, 15km to Sintra
Alternative: Praia Grande parking – free overnight, beachfront, no facilities, 10km to centre
Wild camping: tolerated along coast but increasingly restricted in tourist areas","2","","Has its own microclimate that's 5-10°C cooler than Lisbon due to Atlantic mists, creating lush forests where fairy-tale palaces hide - including a 19th-century castle built to look like a medieval ruin.","Apr-Jun, Sep-Oct","Jul-Aug: tour bus gridlock makes the narrow mountain roads impassable","","","","","","","","","",""
"Budapest","HU","Budapest","city","95","3","Best option: Camping Haller – €20-25/night, tram connection to centre, 8km
Alternative: Arena Plaza parking – free overnight, shopping centre, 6km to centre
Wild camping: illegal in city, occasionally tolerated on Danube islands","2","","Sits on 125 thermal springs that pump 70 million liters daily - you can soak in 100°F natural baths while snow falls around outdoor pools in winter.","Apr-Jun, Sep-Nov","Jul-Aug: Danube floods and 38°C+ heat make the city unbearable","","","","","","","","","",""
